Package,Function,First lesson used,Definition
base,tolower,1.5_assignments,Convert a character vector to lowercase
base,table,1.4_importing_exploring_exporting,Count the number of unique observations in an atomic vector
base,typeof,0.2-values,Print a one-value character vector that represents how a data object is stored on our computer
base,unique,1.4_importing_exploring_exporting,Subset an atomic vector to the unique values in the set
dplyr,arrange,1.4_importing_exploring_exporting,Sort the rows of a data frame by the values in a variable or variables
dplyr,bind_cols,1.3_objects,Combine two variables or columns of two tibbles to create a new tibble
dplyr,desc,1.4_importing_exploring_exporting,"When used with `arrange()`, this sorts the rows of a data frame by the values of a variable in descending order"
dplyr,n,1.6_course_style_guide_part_1,Calculate the number of observations (rows)
dplyr,rename,1.5_assignments,Change the name assigned to a column in a data frame
dplyr,select,1.6_course_style_guide_part_1,Subset columns in a data frame by name (without quotes!)
dplyr,slice_head,1.4_importing_exploring_exporting,Subset a data frame to the first row (default) or rows
dplyr,slice_tail,1.4_importing_exploring_exporting,Subset a data frame to the last row (default) or rows
dplyr,summarize,1.6_course_style_guide_part_1,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
lobstr,ref,1.5_assignments,View the structure of an object in your computer's memory
magrittr,%>%,1.5_assignments,The pipe operator passes the output of the LHS argument to the function on the right
readr,read_csv,0.3-objects,Read a tabular csv file into R as a tibble data frame
readr,read_lines,0.3-objects,Read an atomic vector into R
readr,read_rds,0.3-objects,Read an RDS file into R
readr,write_csv,0.3-objects,Write a data frame to your hard drive as a csv file
readr,write_lines,0.3-objects,Write an atomic vector to your hard drive as a txt file
readr,write_rds,0.3-objects,Write a data object to your hard drive as an RDS file
readxl,excel_sheets,1.4_importing_exploring_exporting,Return the names of worksheets in an Excel file
readxl,read_excel,1.4_importing_exploring_exporting,Read an Excel worksheet into R
rlang,set_names,1.5_assignments,Assign names to values in a vector or items in a list
stats,median,1.4_importing_exploring_exporting,Calculate the median value of a numeric vector and return as a one-value double numeric or integer vector
stats,sd,1.4_importing_exploring_exporting,Calculate the standard deviation of a numeric vector and return as a one-value double numeric vector
stats,var,1.4_importing_exploring_exporting,Calculate the variance of a numeric vector and return as a one-value double numeric vector
stringr,str_c,0.1-intro_to_r_and_rstudio,"Concatenate strings, with or without (default) a separator"
terra,plot,0.2-values,Apply a base R-style plot to a terra raster object
tibble,tibble,0.3-objects,Column-wise creation of a tibble data frame
tibble,tribble,1.3_objects,Row-wise creation of a tibble data frame
tidyverse,tidyverse_packages,1.3_objects,Generate a character vector of package names in the tidyverse metapackage
tidyverse,tidyverse_update,1.2_getting_started,Update packages in the tidyverse metapackage
utils,?,0.1-intro_to_r_and_rstudio,Prefix operator to retrieve the help file for a function
utils,install.packages,0.1-intro_to_r_and_rstudio,Download and install one or more packages onto your computer
utils,news,1.2_getting_started,View the version history of a package
utils,str,0.4-indexing,View the structure of a data object
